Component,Property,Unit,Industrial,Metropolitan,Rural-Dense,Rural-Sparse,Suburban
air_heat_pump,NPVcontribution,[1e9 Euro],0.708325838825438,1.276380427419645,1.9828557479659326,1.0248085930132016,0.32146956389794457
air_heat_pump,TAC,[1e9 Euro/a],0.7083258388254374,1.2763804274196444,1.9828557479659308,1.024808593013201,0.32146956389794423
air_heat_pump,capacity,[kW],6255421.096227869,11097804.990333226,17170573.346526418,8917707.586506495,2783771.2003245302
air_heat_pump,capexCap,[1e9 Euro/a],0.556944648296723,1.0035963807572537,1.5590859977736589,0.8057896946886014,0.25276609067393485
air_heat_pump,capexIfBuilt,[1e9 Euro/a],,,,,
air_heat_pump,commissioning,[kW],6255421.096227869,11097804.990333226,17170573.346526418,8917707.586506495,2783771.2003245302
air_heat_pump,decommissioning,[kW],0.0,0.0,0.0,0.0,0.0
air_heat_pump,invest,[1e9 Euro],7.569059526435723,13.639202333119535,21.188487509613598,10.950944916229975,3.43517366120047
air_heat_pump,investLifetimeExtension,[1e9 Euro],0,0,0,0,0
air_heat_pump,isBuilt,[-],,,,,
air_heat_pump,operation,[kW*h],669322038.9212506,1331736598.8399875,1837229338.3532863,954183280.7871764,334052544.03894407
air_heat_pump,operation_annual,[kW*h/a],48860508841.2513,97216771715.31909,134117741699.7899,69655379497.46388,24385835714.84292
air_heat_pump,opexCap,[1e9 Euro/a],0.15138119052871443,0.2727840466623907,0.423769750192272,0.21901889832459956,0.06870347322400941
air_heat_pump,opexIfBuilt,[1e9 Euro/a],,,,,
air_heat_pump,opexOp,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
air_heat_pump,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
biomass_boiler,NPVcontribution,[1e9 Euro],0.0,0.0,0.0,0.0,0.02689325955723803
biomass_boiler,TAC,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.02689325955723801
biomass_boiler,capacity,[kW],-0.0,-0.0,-0.0,-0.0,286556.3061095876
biomass_boiler,capexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.020073219471829825
biomass_boiler,capexIfBuilt,[1e9 Euro/a],,,,,
biomass_boiler,commissioning,[kW],-0.0,-0.0,-0.0,-0.0,286556.3061095876
biomass_boiler,decommissioning,[kW],0.0,0.0,0.0,0.0,0.0
biomass_boiler,invest,[1e9 Euro],0.0,0.0,0.0,0.0,0.27280160341632737
biomass_boiler,investLifetimeExtension,[1e9 Euro],0,0,0,0,0
biomass_boiler,isBuilt,[-],,,,,
biomass_boiler,operation,[kW*h],0.0,0.0,0.0,0.0,11935696.486139264
biomass_boiler,operation_annual,[kW*h/a],0.0,0.0,0.0,0.0,871305843.4881663
biomass_boiler,opexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.006820040085408185
biomass_boiler,opexIfBuilt,[1e9 Euro/a],,,,,
biomass_boiler,opexOp,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
biomass_boiler,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
district_heat_pump,NPVcontribution,[1e9 Euro],0.0,1.2527011826568193,0.0,0.0,0.12813683191642647
district_heat_pump,TAC,[1e9 Euro/a],0.0,1.2527011826568182,0.0,0.0,0.12813683191642639
district_heat_pump,capacity,[kW],0.0,10485444.014049338,0.0,0.0,795350.0731265553
district_heat_pump,capexCap,[1e9 Euro/a],0.0,0.9946963472471202,0.0,0.0,0.10174592346497759
district_heat_pump,capexIfBuilt,[1e9 Euro/a],,,,,
district_heat_pump,commissioning,[kW],-0.0,10485444.014049338,-0.0,-0.0,795350.0731265553
district_heat_pump,decommissioning,[kW],0.0,0.0,0.0,0.0,0.0
district_heat_pump,invest,[1e9 Euro],0.0,17.200322360646535,0.0,0.0,1.759393896763253
district_heat_pump,investLifetimeExtension,[1e9 Euro],0,0,0,0,0
district_heat_pump,isBuilt,[-],,,,,
district_heat_pump,operation,[kW*h],0.0,978309389.883399,0.0,0.0,73673448.9012046
district_heat_pump,operation_annual,[kW*h/a],0.0,71416585461.48813,0.0,0.0,5378161769.787936
district_heat_pump,opexCap,[1e9 Euro/a],0.0,0.25800483540969804,0.0,0.0,0.026390908451448793
district_heat_pump,opexIfBuilt,[1e9 Euro/a],,,,,
district_heat_pump,opexOp,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
district_heat_pump,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
gas_boiler,NPVcontribution,[1e9 Euro],0.0,0.0,0.0,0.0,0.0
gas_boiler,TAC,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
gas_boiler,capacity,[kW],-0.0,-0.0,-0.0,-0.0,-0.0
gas_boiler,capexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
gas_boiler,capexIfBuilt,[1e9 Euro/a],,,,,
gas_boiler,commissioning,[kW],-0.0,-0.0,-0.0,-0.0,-0.0
gas_boiler,decommissioning,[kW],0.0,0.0,0.0,0.0,0.0
gas_boiler,invest,[1e9 Euro],0.0,0.0,0.0,0.0,0.0
gas_boiler,investLifetimeExtension,[1e9 Euro],0,0,0,0,0
gas_boiler,isBuilt,[-],,,,,
gas_boiler,operation,[kW*h],0.0,0.0,0.0,0.0,0.0
gas_boiler,operation_annual,[kW*h/a],0.0,0.0,0.0,0.0,0.0
gas_boiler,opexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
gas_boiler,opexIfBuilt,[1e9 Euro/a],,,,,
gas_boiler,opexOp,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
gas_boiler,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
h2_boiler,NPVcontribution,[1e9 Euro],0.0,0.0,0.0,0.0,0.0
h2_boiler,TAC,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,capacity,[kW],-0.0,-0.0,-0.0,-0.0,-0.0
h2_boiler,capexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,capexIfBuilt,[1e9 Euro/a],,,,,
h2_boiler,commissioning,[kW],-0.0,-0.0,-0.0,-0.0,-0.0
h2_boiler,decommissioning,[kW],0.0,0.0,0.0,0.0,0.0
h2_boiler,invest,[1e9 Euro],0.0,0.0,0.0,0.0,0.0
h2_boiler,investLifetimeExtension,[1e9 Euro],0,0,0,0,0
h2_boiler,isBuilt,[-],,,,,
h2_boiler,operation,[kW*h],0.0,0.0,0.0,0.0,0.0
h2_boiler,operation_annual,[kW*h/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,opexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,opexIfBuilt,[1e9 Euro/a],,,,,
h2_boiler,opexOp,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
